Latitude,Longitude,Elevation,Land Use,Location Setting,Address,Zip Code,State Name,County Name,City Name,fipsID
32.437458,-86.47289099999998,64.0,RESIDENTIAL,SUBURBAN,"KING ARTHUR TRAILER COURT, PRATTVILLE,AL",36067.0,Alabama,Autauga,Prattville,1001.0
32.428470000000004,-86.443585,0.0,AGRICULTURAL,RURAL,COUNTY RD 4 PRATTVILLE EXPERIMENT ST,,Alabama,Autauga,Prattville,1001.0
32.332659,-86.791521,41.0,FOREST,RURAL,"1170 COUNTY RD.15 SO., SELMA, AL. 36701",36003.0,Alabama,Autauga,Not in a City,1001.0
0.0,0.0,0.0,UNKNOWN,RURAL,CHANDLER RESIDENCE FT MORGAN STATE PARK,,Alabama,Baldwin,Not in a city,1003.0
30.552367,-87.70691099999998,0.0,COMMERCIAL,RURAL,COR PENNSYLVANIA & CHICAGO (ROBERTSDALE),36567.0,Alabama,Baldwin,Robertsdale,1003.0
30.555471999999998,-87.713599,49.0,COMMERCIAL,URBAN AND CENTER CITY,"RACINE AND MICHIGAN ST, ROBERTSDALE, AL.",,Alabama,Baldwin,Not in a city,1003.0
30.497478000000005,-87.880258,37.19,COMMERCIAL,SUBURBAN,"FAIRHOPE HIGH SCHOOL, 1 PIRATE DRIVE, FAIRHOPE,  ALABAMA",36532.0,Alabama,Baldwin,Fairhope,1003.0
31.891271999999997,-85.13521,85.0,COMMERCIAL,SUBURBAN,601 EAST BARBOUR US HGWY 82,,Alabama,Barbour,Eufaula,1005.0
31.664302000000006,-85.606175,143.26,FOREST,SUBURBAN,"437 COUNTY ROAD 8, CLIO, ALABAMA",,Alabama,Barbour,Not in a city,1005.0
32.904047999999996,-87.23305699999997,445.0,AGRICULTURAL,RURAL,11.8 KM SW OF CENTREVILLE ON CNTY RD 25.,35034.0,Alabama,Bibb,Centreville (Centerville),1007.0
33.95702,-86.464443,250.0,MOBILE,URBAN AND CENTER CITY,COUNTY HEALTH DEPT 1002 2ND AVE EAST,35121.0,Alabama,Blount,Oneonta,1009.0
33.949542,-86.47304199999998,6.0,COMMERCIAL,URBAN AND CENTER CITY,5TH E & 4TH ST NORTH,,Alabama,Blount,Oneonta,1009.0
33.656771,-85.824409,237.0,COMMERCIAL,URBAN AND CENTER CITY,309 EAST 8TH STREET,,Alabama,Calhoun,Anniston,1015.0
33.685659,-85.837744,247.0,INDUSTRIAL,SUBURBAN,BLUE MTN POST OFFICE,,Alabama,Calhoun,Anniston,1015.0
32.83956,-86.63780899999998,213.0,RESIDENTIAL,SUBURBAN,112 AUGUSTA STREET,35045.0,Alabama,Chilton,Clanton,1021.0
32.83957,-86.62887099999998,171.0,COMMERCIAL,URBAN AND CENTER CITY,1ST AVE & 5TH AVE,,Alabama,Chilton,Clanton,1021.0
32.209311,-88.05196099999998,39.0,INDUSTRIAL,RURAL,P.O. BOX 111,,Alabama,Choctaw,Not in a city,1023.0
32.2057,-88.05362799999996,37.0,INDUSTRIAL,RURAL,P.O. BOX 183,,Alabama,Choctaw,Not in a City,1023.0
31.966669,-87.782035,160.0,AGRICULTURAL,RURAL,CLARKE STREET (GROVE HILL),36784.0,Alabama,Clarke,Not in a City,1025.0
31.694265,-87.77346299999998,152.0,COMMERCIAL,SUBURBAN,GROVE HILL MEMORIAL HOSPITAL HWY 43,36451.0,Alabama,Clarke,Grove Hill,1025.0
33.284928,-85.803608,344.42,RESIDENTIAL,RURAL,ASHLAND AIRPORT,36251.0,Alabama,Clay,Ashland,1027.0
31.056846999999998,-87.259142,0.0,UNKNOWN,UNKNOWN,UNKNOWN,,Alabama,Coffee,Enterprise,1031.0
34.737034,-87.886701,143.0,AGRICULTURAL,RURAL,2.3 MI W OF COLBERT POWER PLANT,,Alabama,Colbert,Not in a city,1033.0
34.781787,-87.64612699999998,152.0,INDUSTRIAL,RURAL,0.7 MI WNW OF OACD,35661.0,Alabama,Colbert,Not in a City,1033.0
34.770676,-87.64612699999998,152.0,INDUSTRIAL,RURAL,0.6 MI N OF OACD,35661.0,Alabama,Colbert,Not in a City,1033.0
